710:1.7173606 0.11342408 0.49350986 -0.14507766 1.2433896 0.043058198 0.05646438 1.4857452 -1.5656409 -0.408294
205:0.9441758 -0.048976958 -0.27788684 -0.52197915 -0.10289036 -0.049699254 -0.4921606 -0.33642954 -0.52797306 -0.13692652
45:0.5129578 -0.00045599544 -0.68335575 -0.47677398 -0.15065576 0.027124014 -0.60761356 -0.3652029 -0.13670442 0.22971497
515:0.46099028 -0.48285338 -0.55429494 -0.66579825 -0.20767905 0.061265826 -0.16529937 -0.7205742 0.22634993 -0.05760001
574:0.5586026 0.081380345 -0.48027998 -0.42950252 -0.05047005 0.19394204 -0.8209597 0.018428937 -0.5899805 -0.27162614
858:-0.44364932 -0.17246944 0.049567245 -0.101716466 0.7413548 0.11444657 -0.12864448 0.065506116 -0.023657916 -0.22180201
619:1.09532 -0.13374212 0.27159306 -0.17440476 0.70914954 0.06546213 0.04429381 0.9033213 -0.9503793 -0.34687307
507:0.3034408 -0.25880468 -0.5314571 0.40599203 -0.24014373 0.0408079 -0.35959056 0.06714664 -0.22807156 -0.060162403
113:1.1237042 -0.6913657 0.25247508 -0.26621655 0.5882231 0.27521032 0.16137321 0.6277387 -1.128429 -0.5379898
34:-0.11041635 0.37299788 0.16811956 -0.16804808 -0.10392827 0.3192893 -0.03742383 -0.51591605 -0.41204584 -0.45312244
563:0.834833 -0.27944192 -0.52322567 -0.21789025 0.11452268 -0.21221222 -0.27101985 -0.12831652 -0.025657779 -0.6165427
381:0.87062156 -0.09229051 -0.5175875 -0.14534916 -0.30185473 -0.16308248 0.19363506 -0.4778236 -0.123912185 0.49567953
455:0.74104655 0.35189906 -0.53878367 -0.2589853 0.29017192 -0.6856555 0.55033433 0.018096643 -0.49515593 0.5575344
67:2.1368535 -0.22737241 0.3114106 -0.8074909 0.6247924 0.0055267513 -0.23138595 0.9108461 -0.27641642 -1.4382609
388:0.46533313 -0.55516773 -0.27835998 -0.46501783 0.20560756 0.14536871 -0.23295137 -0.5002798 -0.132108 -0.75582165
974:0.1553628 -0.77984905 -0.2945201 -0.32137033 -0.09939446 -0.3477163 0.2994022 0.08266206 -0.51728 -1.114749
310:1.5319983 0.9309159 -0.15567462 -0.25654095 0.47995287 -0.6563848 0.81220394 0.988334 -0.756855 -0.50135666
169:1.0113065 0.68629956 -0.3830793 0.016649975 0.25538644 -0.76904845 0.6983915 0.09613571 -0.42147854 0.75156194
444:0.8017389 0.21193323 -0.5827387 0.027565643 0.10028054 -0.3712098 -0.60333735 0.07277871 -0.2054007 -0.10275696
120:0.8812885 0.03298348 -0.02375537 -0.22233354 0.6787017 0.1347267 0.37270963 0.44577232 -0.77262247 -0.087704726
193:0.32780117 0.042710055 -0.9496527 -0.19890453 -0.10386639 0.19800703 0.065182336 0.09189226 -0.058311466 0.44428343
713:1.8755436 -0.3465596 0.112317234 -0.57937545 0.11715453 0.16736864 0.08227795 1.0867698 -0.7214989 -1.0937635
302:0.8109287 -0.44303608 -0.39824393 -0.3479515 0.035544157 -0.087403424 -0.33083454 -0.3512195 0.03728112 -0.5933355
153:-0.38455567 0.32436007 -0.1405695 1.1163446 -0.03712895 -0.56355816 0.24241683 -0.4326417 -0.8485007 0.2837888
844:1.8605671 -0.6050232 -0.27351812 -0.75746965 0.36342072 0.07033603 -0.26737848 0.5732053 -0.44556484 -1.5539106
335:0.653935 -0.296461 -0.644441 -0.03653938 -0.16149914 -0.0023553758 -0.7701128 0.059346475 -0.38664943 -0.7538949
885:0.927627 0.019917527 0.12168642 -0.6270777 0.5660329 -0.17169815 0.4705298 0.77591455 -0.60288006 -0.74743915
735:0.3593065 0.17460468 -0.66835004 0.007365104 0.59391147 -0.027027298 -0.7521054 0.6746055 -0.28537405 -0.5645153
664:1.3403263 -0.090376645 -0.0857745 -0.1579949 0.6844498 0.2264119 0.16486935 0.7350894 -0.57100105 -0.7192803
93:1.0564747 0.44650203 -0.44133726 0.26651835 0.48073593 -0.15686074 -0.019246109 0.68273646 -0.5773379 0.30356336
158:0.36095968 0.47894254 -0.7006228 -0.31272382 0.13598388 -0.004271359 1.1049087 0.037541885 -0.077994324 0.6034504
458:1.3464162 -0.07112911 -0.6381245 0.07450339 0.19675636 -0.2851499 0.19735165 0.3472871 -0.28394964 -0.6268178
